嗚呼,ああ,"Ah!;Oh!;Alas!",
始めまして,はじめまして,"How do you do?;I am glad to meet you",
始める,はじめる,"to start;to begin",
始める,はじめる,"to start;to begin",
蓮,はす,"lotus",
筈,はず,"it should be so",
恥ずかしい,はずかしい,"shy;ashamed;embarrassed",
外す,はずす,"to unfasten;to remove",
外れる,はずれる,"to be disconnected;to get out of place;to be off;to be out (e.g. of gear)",
旗,はた,"flag",
機,はた,"loom",
畑,はたけ,"field",
果たして,はたして,"as was expected;really",
二十歳,はたち,"20 years old;20th year",
働き,はたらき,"work;workings;activity;ability;talent;function;labor;action;operation;movement;motion;conjugation;inflection;achievement",
働く,はたらく,"to work;to labor;to do;to act;to commit;to practise;to work on;to come into play;to be conjugated;to reduce the price",
肌,はだ,"skin;body;grain;texture;disposition",
裸,はだか,"naked;nude;bare",
肌着,はだぎ,"underwear;lingerie;singlet;chemise",
八,はち,"(num) eight",
鉢,はち,"a bowl;a pot;a basin;a flowerpot;a crown;a brainpan",
発揮,はっき,"exhibition;demonstration;utilization;display",
,はっきり,"clearly;plainly;distinctly",
発見,はっけん,"discovery",
発行,はっこう,"issue (publications)",
発車,はっしゃ,"departure of a vehicle",
発射,はっしゃ,"firing;shooting;discharge;catapult",
発想,はっそう,"expression (music);conceptualization",
発達,はったつ,"development;growth",
発展,はってん,"development;growth",
発表,はっぴょう,"announcement;publication",
初,はつ,"first;new",
発,はつ,"departure;beginning;counter for gunshots",
発育,はついく,"(physical) growth;development",
発音,はつおん,"pronunciation",
二十日,はつか,"twenty days;twentieth (day of the month)",
発電,はつでん,"generation (e.g. power)",
発売,はつばい,"sale",
発明,はつめい,"invention",
派手,はで,"showy;loud;gay;flashy;gaudy",
花,はな,"flower",
鼻,はな,"nose",
話,はなし,"talk;speech;chat;story;conversation",
話し合い,はなしあい,"discussion;conference",
話し合う,はなしあう,"to discuss;to talk together",
話し掛ける,はなしかける,"to accost a person;to talk (to someone)",
話中,はなしちゅう,"while talking;the line is busy",
話す,はなす,"to speak",
離す,はなす,"to part;divide;separate",
放す,はなす,"to separate;to set free",
甚だしい,はなはだしい,"extreme;excessive;terrible;intense;severe;serious;tremendous;heavy (damage)",
華々しい,はなばなしい,"brilliant;magnificent;spectacular",
花火,はなび,"fireworks",
花見,はなみ,"cherry-blossom viewing;flower viewing",
華やか,はなやか,"gay;showy;brilliant;gorgeous;florid",
花嫁,はなよめ,"bride",
離れる,はなれる,"to be separated from;to leave;to go away;to be a long way off",
放れる,はなれる,"to leave;to get free;to cut oneself off",
羽,はね,"feather;plume;wing",
跳ねる,はねる,"to jump;to leap;to prance;to spring up;to bound;to hop",
母,はは,"mother",
母親,ははおや,"mother",
幅,はば,"width;breadth",
省く,はぶく,"to omit;to eliminate;to curtail;to economize",
破片,はへん,"fragment;splinter;broken piece",
歯磨,はみがき,"dentifrice;toothpaste",
填める,はめる,"to get in;to insert;to put on;to make love",
早い,はやい,"early",
速い,はやい,"quick;fast;swift",
早口,はやくち,"fast-talking",
林,はやし,"woods;forest",
流行,はやり,"fashionable;fad;in vogue;prevailing",
流行る,はやる,"to flourish;to thrive;to be popular;to come into fashion",
腹,はら,"abdomen;belly;stomach",
払い込む,はらいこむ,"to deposit;to pay in",
払い戻す,はらいもどす,"to repay;to pay back",
払う,はらう,"to pay;to brush;to wipe",
針,はり,"needle;fish hook;pointer;hand (e.g. clock)",
針金,はりがね,"wire",
張り切る,はりきる,"to be in high spirits;to be full of vigor;to be enthusiastic;to be eager;to stretch to breaking point",
春,はる,"spring",
貼る,はる,"to stick;to paste",
張る,はる,"to stick;to paste;to put;to affix;to stretch;to spread;to strain;to stick out;to slap;to be expensive;to tighten",
晴れ,はれ,"clear weather",
晴れる,はれる,"to be sunny;to clear away;to stop raining",
半,はん,"half",
範囲,はんい,"extent;scope;sphere;range",
反映,はんえい,"reflection;influence",
半径,はんけい,"radius",
判子,はんこ,"seal (used for signature)",
反抗,はんこう,"opposition;resistance;insubordination;defiance;hostility;rebellion",
犯罪,はんざい,"crime",
判事,はんじ,"judge;judiciary",
反省,はんせい,"reflection;reconsideration;introspection;meditation;contemplation",
反対,はんたい,"opposition;resistance;antagonism;hostility;contrast;objection;dissension;reverse;opposite;vice versa",
判断,はんだん,"judgement;decision;adjudication;conclusion;decipherment;divination",
半島,はんとう,"peninsula",
犯人,はんにん,"offender;criminal",
販売,はんばい,"sale;selling;marketing",
半分,はんぶん,"half",
場,ば,"place;field (physics)",
場合,ばあい,"case;situation",
倍,ばい,"twice;times;-fold;double;be doubled;increase",
売店,ばいてん,"shop;stand",
売買,ばいばい,"trade;buying and selling",
馬鹿,ばか,"fool;idiot;trivial matter;folly",
馬鹿らしい,ばからしい,"absurd",
莫大,ばくだい,"enormous;vast",
爆発,ばくはつ,"explosion;detonation;eruption",
場所,ばしょ,"place;location",
罰,ばち,"(divine) punishment;curse;retribution",
罰する,ばっする,"to punish;to penalize",
,ばったり,"with a clash (thud);with a bang;plump;flop;suddenly;abruptly;unexpectedly",
発条,ばね,"spring (e.g. coil  leaf)",
場面,ばめん,"scene;setting (e.g. of novel)",
晩,ばん,"evening",
判,ばん,"size (of paper or books)",
万,ばん,"many;all",
万,ばん,"many;all",
番組,ばんぐみ,"program (e.g. TV)",
番号,ばんごう,"number;series of digits",
万歳,ばんざい,"hurrah;longlife;congratulations;cheers",
番地,ばんち,"house number;address",
番目,ばんめ,"cardinal number suffix",
日,ひ,"sun;sunshine;day",
火,ひ,"fire;flame;blaze",
日,ひ,"sun;sunshine;day",
非,ひ,"faulty-;non-",
費,ひ,"cost;expense",
冷える,ひえる,"to grow cold;to get chilly;to cool down",
比較,ひかく,"comparison",
比較的,ひかくてき,"comparatively;relatively",
日陰,ひかげ,"shadow",
光,ひかり,"light",
光る,ひかる,"to shine;to glitter;to be bright",
被害,ひがい,"damage",
日帰り,ひがえり,"day trip",
匹,ひき,"head;small animal counter;roll of cloth",
引き受ける,ひきうける,"to undertake;to take up;to take over;to be responsible for;to guarantee;to contract (disease)",
引き返す,ひきかえす,"to repeat;to send back;to bring back;to retrace one's steps",
引算,ひきざん,"subtraction",
引き出し,ひきだし,"drawer;drawing out",
引き出す,ひきだす,"to pull out;to take out;to draw out;to withdraw",
引き止める,ひきとめる,"to detain;to check;to restrain",
卑怯,ひきょう,"cowardice;meanness;unfairness",
引き分け,ひきわけ,"a draw (in competition);tie game",
引く,ひく,"minus;to pull;to play (string instr.)",
轢く,ひく,"to run somebody over (with vehicle);to knock someone down",
低い,ひくい,"short;low;humble;low (voice)",
否決,ひけつ,"rejection;negation;voting down",
髭,ひげ,"moustache;beard;whiskers",
悲劇,ひげき,"tragedy",
飛行,ひこう,"aviation",
飛行場,ひこうじょう,"airport",
久し振り,ひさしぶり,"after a long time",
膝,ひざ,"knee;lap",
陽射,ひざし,"sunlight;rays of the sun",
肘,ひじ,"elbow",
非常,ひじょう,"emergency;extraordinary;unusual",
左,ひだり,"left hand side",
引っ掛かる,ひっかかる,"to be caught in;to be stuck in;to be cheated",
引っ掛ける,ひっかける,"1.  to hang (something) on (something);to throw on (clothes); 2.  to hook;to catch;to trap;to ensnare; 3.  to cheat;to evade payment;to jump a bill; 4.  to drink (alcohol); 5.  to spit at (a person); 6.  to hit the ball off the end of the bat (baseball)",
筆記,ひっき,"(taking) notes;copying",
引っ繰り返す,ひっくりかえす,"to turn over;to overturn;to knock over;to upset;to turn inside out",
引っ繰り返る,ひっくりかえる,"to be overturned;to be upset;to topple over;to be reversed",
引越し,ひっこし,"moving (dwelling  office  etc.);changing residence",
引っ越す,ひっこす,"to move;to change residence",
引っ込む,ひっこむ,"to draw back;to sink;to cave in",
必死,ひっし,"inevitable death;desperation;frantic;inevitable result",
筆者,ひっしゃ,"writer;author",
引っ張る,ひっぱる,"1.  to pull;to draw;to stretch;to drag; 2.  to pull the ball (baseball)",
未,ひつじ,"eighth sign of Chinese zodiac (The Ram  1pm-3pm  south-southwest  June)",
必需品,ひつじゅひん,"necessities;necessary article;requisite;essential",
必要,ひつよう,"necessary;essential;indispensable",
否定,ひてい,"negation;denial;repudiation",
人込み,ひとごみ,"crowd of people",
人差指,ひとさしゆび,"index finger",
等しい,ひとしい,"equal",
一筋,ひとすき,"a line;earnestly;blindly;straightforwardly",
一つ,ひとつ,"one",
一通り,ひととおり,"ordinary;usual;in general;briefly",
人通り,ひとどおり,"pedestrian traffic",
一まず,ひとまず,"for the present;once;in outline",
瞳,ひとみ,"pupil (of eye)",
一休み,ひとやすみ,"a rest",
独り,ひとり,"alone;unmarried",
独り言,ひとりごと,"a soliloquy;a monologue;speaking to oneself",
一人でに,ひとりでに,"by itself;automatically;naturally",
一人一人,ひとりひとり,"one by one;each;one at a time",
酷い,ひどい,"cruel;awful;severe;very bad;serious;terrible;heavy;violent",
皮肉,ひにく,"cynicism;sarcasm",
日日,ひにち,"the number of days",
捻る,ひねる,"to turn (a switch) on or off;to twist;to puzzle over",
日の入り,ひのいり,"sunset",
日の出,ひので,"sunrise",
批判,ひはん,"criticism;judgement;comment",
批評,ひひょう,"criticism;review;commentary",
日々,ひび,"every day;daily;day after day",
響き,ひびき,"echo;sound;reverberation;noise",
響く,ひびく,"to resound",
皮膚,ひふ,"skin",
秘密,ひみつ,"secret;secrecy",
紐,ひも,"string;cord;pimp",
百,ひゃく,"(num) 100;hundred",
百科事典,ひゃっかじてん,"encyclopedia",
百科辞典,ひゃっかじてん,"encyclopedia",
冷やす,ひやす,"to cool;to refrigerate",
評価,ひょうか,"valuation;estimation;assessment;evaluation",
表現,ひょうげん,"expression;presentation;representation (math)",
標語,ひょうご,"motto;slogan;catchword",
表紙,ひょうし,"front cover;binding",
標識,ひょうしき,"sign;mark",
標準,ひょうじゅん,"standard;level",
表情,ひょうじょう,"facial expression",
評判,ひょうばん,"fame;reputation;popularity;arrant",
標本,ひょうほん,"example;specimen",
表面,ひょうめん,"surface;outside;face;appearance",
評論,ひょうろん,"criticism;critique",
費用,ひよう,"cost;expense",
平仮名,ひらがな,"hiragana;47 syllables;the cursive syllabary",
開く,ひらく,"to open (e.g. a festival)",
昼,ひる,"noon;daytime",
昼寝,ひるね,"nap (at home);siesta",
広い,ひろい,"spacious;vast;wide",
拾う,ひろう,"to pick up;to find;to gather",
広がる,ひろがる,"to spread (out);to extend;to stretch;to reach to;to get around",
広げる,ひろげる,"to spread;to extend;to expand;to enlarge;to widen;to broaden;to unfold;to open;to unroll",
広さ,ひろさ,"extent",
広場,ひろば,"plaza",
広々,ひろびろ,"extensive;spacious",
広める,ひろめる,"to broaden;to propagate",
美人,びじん,"beautiful person (woman)",
吃驚,びっくり,"be surprised;be amazed;be frightened;astonishment",
微妙,びみょう,"delicate;subtle",
秒,びょう,"second (60th min)",
病院,びょういん,"hospital",
病気,びょうき,"illness;disease;sickness",
平等,びょうどう,"equality (a);impartiality;evenness",
美容,びよう,"beauty of figure or form",
便,びん,"mail;post;flight (e.g. airline flight);service;opportunity;chance;letter",
便,びん,"mail;post;flight (e.g. airline flight);service;opportunity;chance;letter",
便箋,びんせん,"writing paper;stationery",
瓶詰,びんづめ,"bottling;bottled",
,ぴかぴか,"glitter;sparkle",
,ぴったり,"exactly;neatly;sharp",
歩,ふ,"pawn (in chess or shogi)",
不安,ふあん,"anxiety;uneasiness;insecurity;suspense",
風景,ふうけい,"scenery",
風船,ふうせん,"balloon",
風俗,ふうぞく,"1.  manners;customs; 2.  sex service;sex industry",
封筒,ふうとう,"envelope",
夫婦,ふうふ,"married couple;spouses;husband and wife;couple;pair",
不運,ふうん,"unlucky;misfortune;bad luck;fate",
笛,ふえ,"flute;pipe",
増える,ふえる,"to increase;to multiply",
殖える,ふえる,"to increase;to multiply",
不可,ふか,"wrong;bad;improper;unjustifiable;inadvisable",
深い,ふかい,"deep;profound;thick;close",
深まる,ふかまる,"to deepen;to heighten;to intensify",
不規則,ふきそく,"irregularity;unsteadiness;disorderly",
普及,ふきゅう,"diffusion;spread",
付近,ふきん,"neighbourhood;vicinity;environs",
吹く,ふく,"to blow (wind  etc)",
拭く,ふく,"to wipe;to dry",
服,ふく,"clothes",
複雑,ふくざつ,"complexity;complication",
副詞,ふくし,"adverb",
複写,ふくしゃ,"copy;duplicate",
復習,ふくしゅう,"review",
複数,ふくすう,"plural;multiple",
服装,ふくそう,"garments",
含む,ふくむ,"to hold in the mouth;to bear in mind;to understand;to cherish;to harbor;to contain;to comprise;to have;to hold;to include;to embrace;to be charged or loaded with;to be dripping with;to be full of;to be suffused with",
含める,ふくめる,"to include;to instruct;to make one understand;to put in one's mouth",
膨らます,ふくらます,"to swell;to expand;to inflate;to bulge",
膨らむ,ふくらむ,"to expand;to swell (out);to get big;to become inflated",
袋,ふくろ,"bag;sack",
不潔,ふけつ,"unclean;dirty;filthy;impure",
更ける,ふける,"to get late;to advance;to wear on",
老ける,ふける,"to age",
不幸,ふこう,"unhappiness;sorrow;misfortune;disaster;accident;death",
符号,ふごう,"sign;mark;symbol",
夫妻,ふさい,"man and wife;married couple",
塞がる,ふさがる,"to be plugged up;to be shut up",
塞ぐ,ふさぐ,"to stop up;to close up;to block (up);to occupy;to fill up;to take up;to stand in another's way;to plug up;to shut up",
不山戯る,ふざける,"to romp;to gambol;to frolic;to joke;to make fun of;to flirt",
不思議,ふしぎ,"wonder;miracle;strange;mystery;marvel;curiosity",
不自由,ふじゆう,"discomfort;disability;inconvenience;destitution",
夫人,ふじん,"wife;Mrs;madam",
婦人,ふじん,"woman;female",
襖,ふすま,"sliding screen",
不正,ふせい,"injustice;unfairnes;iniquity;impropriety;irregularity;dishonesty;illegality",
防ぐ,ふせぐ,"to defend (against);to protect;to prevent",
不足,ふそく,"insufficiency;shortage;deficiency;lack;dearth",
付属,ふぞく,"attached;belonging;affiliated;annexed;associated;subordinate;incidental;dependent;auxiliary",
双子,ふたご,"twins;a twin",
再び,ふたたび,"again;once more",
二つ,ふたつ,"two",
普段,ふだん,"usually;habitually;ordinarily;always",
仏,ふつ,"French",
普通,ふつう,"1.  generally;ordinarily;usually; 2.  train that stops at every station",
不通,ふつう,"suspension;interruption;stoppage;tie-up;cessation",
二日,ふつか,"second day of the month;two days",
筆,ふで,"writing brush",
不図,ふと,"suddenly;casually;accidentally;incidentally;unexpectedly;unintentionally",
太い,ふとい,"fat;thick",
不当,ふとう,"injustice;impropriety;unreasonableness;undeservedness;unfair;invalid",
太る,ふとる,"to grow fat (stout  plump);to become fat",
布団,ふとん,"bedding (Japanese style);futon",
船便,ふなびん,"surface mail (ship)",
舟,ふね,"ship;boat;watercraft;shipping;vessel;steamship",
船,ふね,"ship;boat;watercraft;shipping;vessel;steamship",
不便,ふびん,"pity;compassion",
吹雪,ふぶき,"snow storm",
不平,ふへい,"complaint;discontent;dissatisfaction",
不満,ふまん,"dissatisfaction;displeasure;discontent;complaints;unhappiness",
文,ふみ,"letter;writings",
踏切,ふみきり,"railway crossing;level crossing;starting line;scratch;crossover",
踏む,ふむ,"to step on;to tread on",
麓,ふもと,"the foot;the bottom;the base (of a mountain)",
増やす,ふやす,"to increase;to add to;to augment",
殖やす,ふやす,"to increase;to add to;to augment",
冬,ふゆ,"winter",
不利,ふり,"disadvantage;handicap;unfavorable;drawback",
振り,ふり,"pretence;show;appearance",
振り仮名,ふりがな,"furigana (hiragana over kanji);pronunciation key",
振り向く,ふりむく,"to turn one's face;to turn around",
不良,ふりょう,"badness;delinquent;inferiority;failure",
降る,ふる,"to precipitate;to fall (e.g. rain)",
振る,ふる,"to wave;to shake;to swing;to cast (actor)",
古い,ふるい,"old (not person);aged;ancient;antiquated;stale;threadbare;outmoded;obsolete article",
震える,ふるえる,"to shiver;to shake;to quake",
振舞う,ふるまう,"to behave;to conduct oneself;to entertain (vt)",
触れる,ふれる,"to touch;to be touched;to touch on a subject;to feel;to violate (law  copyright  etc.);to perceive;to be emotionally moved",
風呂,ふろ,"bath",
風呂敷,ふろしき,"wrapping cloth;cloth wrapper",
分,ふん,"minute",
雰囲気,ふんいき,"atmosphere (e.g. musical);mood;ambience",
噴火,ふんか,"eruption",
噴水,ふんすい,"water fountain",
部,ぶ,"department;part;category;counter for copies of a newspaper or magazine",
部,ぶ,"department;part;category;counter for copies of a newspaper or magazine",
武器,ぶき,"weapon;arms;ordinance",
無沙汰,ぶさた,"neglecting to stay in contact",
武士,ぶし,"warrior;samurai",
部首,ぶしゅ,"radical (of a kanji character)",
無事,ぶじ,"safety;peace;quietness",
舞台,ぶたい,"stage (theatre)",
物価,ぶっか,"prices of commodities;prices (in general)",
物質,ぶっしつ,"material;substance",
物騒,ぶっそう,"dangerous;disturbed;insecure",
打つ,ぶつ,"to hit;to strike",
,ぶつかる,"to strike;to collide with",
打付ける,ぶつける,"to knock;to run into;to nail on;to strike hard;to hit and attack",
,ぶつぶつ,"grumbling;complaining in a small voice",
物理,ぶつり,"physics",
部品,ぶひん,"parts;accessories",
部分,ぶぶん,"portion;section;part",
ぶら下げる,ぶらさげる,"to hang;to suspend;to dangle;to swing",
文化,ぶんか,"culture;civilization",
分解,ぶんかい,"analysis;disassembly",
文学,ぶんがく,"literature",
文献,ぶんけん,"literature;books (reference)",
文芸,ぶんげい,"literature;art and literature;belles-lettres",
文章,ぶんしょう,"sentence;article",
分数,ぶんすう,"fraction (in math)",
分析,ぶんせき,"analysis",
文体,ぶんたい,"literary style",
分担,ぶんたん,"apportionment;sharing",
分布,ぶんぷ,"distribution",
文房具,ぶんぼうぐ,"stationery",
文法,ぶんぽう,"grammar",
文脈,ぶんみゃく,"context",
文明,ぶんめい,"civilization;culture",
分野,ぶんや,"field;sphere;realm;division;branch",
分量,ぶんりょう,"amount;quantity",
分類,ぶんるい,"classification",
塀,へい,"wall;fence",
閉会,へいかい,"closure",
平気,へいき,"coolness;calmness;composure;unconcern",
平行,へいこう,"(going) side by side;concurrent;abreast;at the same time;occurring together;parallel;parallelism",
平日,へいじつ,"weekday;ordinary days",
兵隊,へいたい,"soldier;sailor",
平凡,へいぼん,"common;commonplace;ordinary;mediocre",
平野,へいや,"plain;open field",
平和,へいわ,"peace;harmony",
凹む,へこむ,"to be dented;to be indented;to yield to;to give;to sink;to collapse;to cave in;to be snubbed",
臍,へそ,"navel;belly-button",
下手,へた,"unskillful;poor;awkward",
隔たる,へだたる,"to be distant",
隔てる,へだてる,"to be shut out",
部屋,へや,"room",
減らす,へらす,"to abate;to decrease;to diminish;to shorten",
減る,へる,"to decrease (in size or number);to diminish;to abate",
経る,へる,"to pass;to elapse;to experience",
経る,へる,"to pass;to elapse;to experience",
変,へん,"change;incident;disturbance;strange;flat (music);odd;peculiar;suspicious-looking;queer;eccentric;funny",
辺,へん,"area;vicinity",
編,へん,"compilation;editing;completed poem;book;part of book",
偏,へん,"side;left radical of a character;inclining;inclining toward;biased",
変化,へんか,"change;variation;alteration;mutation;transition;transformation;transfiguration;metamorphosis;variety;diversity;inflection;declension;conjugation",
変更,へんこう,"change;modification;alteration",
編集,へんしゅう,"editing;compilation;editorial (e.g. committee)",
返事,へんじ,"reply;answer",
別荘,べっそう,"holiday house;villa",
別,べつ,"distinction;difference;different;another;particular;separate;extra;exception",
別に,べつに,"(not) particularly;nothing",
別々,べつべつ,"separately;individually",
勉強,べんきょう,"study;diligence;discount;reduction",
便所,べんじょ,"toilet;lavatory;rest room;latrine;comfort station",
弁当,べんとう,"box lunch",
便利,べんり,"convenient;handy;useful",
法,ほう,"Act (law: the X Act)",
倣,ほう,"imitate;follow;emulate",
方角,ほうがく,"direction;way;compass point",
宝器,ほうき,"treasured article or vessel;outstanding individual",
方言,ほうげん,"dialect",
方向,ほうこう,"direction;course;way",
報告,ほうこく,"report;information",
方針,ほうしん,"objective;plan;policy",
宝石,ほうせき,"gem;jewel",
放送,ほうそう,"broadcast;broadcasting",
包装,ほうそう,"packing;wrapping",
法則,ほうそく,"law;rule",
包帯,ほうたい,"bandage;dressing",
庖丁,ほうちょう,"kitchen knife;carving knife",
方程式,ほうていしき,"equation",
豊富,ほうふ,"abundance;wealth;plenty;bounty",
方法,ほうほう,"method;manner;way;means;technique",
方面,ほうめん,"direction;district;field (e.g.  of study)",
訪問,ほうもん,"call;visit",
法律,ほうりつ,"law",
放る,ほうる,"to let go",
吠える,ほえる,"to bark;to bay;to howl;to bellow;to roar;to cry",
頬,ほお,"cheek (of face)",
他,ほか,"other",
捕獲,ほかく,"capture;seizure",
朗らか,ほがらか,"brightness;cheerfulness;melodious",
保健,ほけん,"health preservation;hygiene;sanitation",
誇り,ほこり,"pride",
埃,ほこり,"dust",
誇る,ほこる,"to boast of;to be proud of",
綻びる,ほころびる,"to come apart at the seams;to begin to open;to smile broadly",
星,ほし,"star",
欲しい,ほしい,"wanted;wished for;in need of;desired",
保証,ほしょう,"guarantee;security;assurance;pledge;warranty",
干す,ほす,"to air;to dry;to desiccate;to drain (off);to drink up",
細い,ほそい,"thin;slender;fine",
舗装,ほそう,"pavement;road surface",
保存,ほぞん,"preservation;conservation;storage;maintenance",
北極,ほっきょく,"North Pole",
殆ど,ほとんど,"mostly;almost",
程,ほど,"degree;extent;bounds;limit",
歩道,ほどう,"footpath;walkway;sidewalk",
解く,ほどく,"to unfasten",
炎,ほのお,"flame;blaze",
微笑む,ほほえむ,"to smile",
保母,ほぼ,"day care worker in a kindergarten  nursery school  etc.",
褒める,ほめる,"to praise;to admire;to speak well",
捕吏,ほり,"constable",
掘る,ほる,"to dig;to excavate",
彫る,ほる,"to carve;to engrave;to sculpture;to chisel",
本,ほん,"book;main;head;this;our;counter for long cylindrical things",
本当,ほんとう,"truth;reality",
本人,ほんにん,"the person himself",
本の,ほんの,"mere;only;just",
本部,ほんぶ,"headquarters",
本物,ほんもの,"genuine article",
翻訳,ほんやく,"translation;de-encryption;deciphering",
本来,ほんらい,"originally",
棒,ぼう,"pole;rod;stick",
卯,ぼう,"fourth sign of Chinese zodiac (The Hare  5am-7am  east  February)",
望遠鏡,ぼうえんきょう,"telescope",
冒険,ぼうけん,"risk;venture;adventure",
坊さん,ぼうさん,"Buddhist priest;monk",
帽子,ぼうし,"hat",
防止,ぼうし,"prevention;check",
膨大,ぼうだい,"huge;bulky;enormous;extensive;swelling;expansion",
防犯,ぼうはん,"prevention of crime",
坊や,ぼうや,"boy",
暴力,ぼうりょく,"violence",
牧場,ぼくじょう,"1.  farm (livestock); 2.  pasture land;meadow;grazing land",
牧畜,ぼくちく,"stock-farming",
募集,ぼしゅう,"recruiting;taking applications",
坊ちゃん,ぼっちゃん,"son (of others)",
藍褸,ぼろ,"rag;scrap;tattered clothes;fault (esp. in a pretense);defect;run-down or junky",
盆,ぼん,"Lantern Festival;Festival of the Dead;tray",
盆地,ぼんち,"basin (e.g. between mountains)",
,まあ,"you might say",
,まあまあ,"so-so",
枚,まい,"counter for flat objects (e.g. sheets of paper)",
迷子,まいご,"lost (stray) child",
枚数,まいすう,"the number of flat things",
参る,まいる,"to go;to come;to call;to visit;to visit a shrine;to be defeated;to be nonplussed;to be madly in love;to die",
舞う,まう,"to dance;to flutter about;to revolve",
任せる,まかせる,"1.  to entrust to another;to leave to; 2.  to do something at one's leisure",
賄う,まかなう,"to give board to;to provide meals;to pay",
曲がる,まがる,"to turn;to bend",
巻,まき,"volume",
巻く,まく,"to wind;to coil;to roll",
蒔く,まく,"to sow (seeds)",
撒く,まく,"to scatter;to sprinkle;to sow",
枕,まくら,"pillow;bolster",
負け,まけ,"defeat;loss;losing (a game)",
負ける,まける,"to lose;to be defeated",
曲げる,まげる,"to bend;to crook;to lean",
孫,まご,"grandchild",
,まごまご,"confused",
,まさか,"Never!;Well  I never!;You don't say!",
摩擦,まさつ,"friction;rubbing;rubdown;chafe",
正に,まさに,"correctly;surely",
混ざる,まざる,"to be mixed;to be blended with;to associate with;to mingle with;to join",
交ざる,まざる,"to be mixed;to be blended with;to associate with;to mingle with;to join",
増し,まし,"extra;additional;less objectionable;better;preferable",
混じる,まじる,"to be mixed;to be blended with;to associate with;to mingle with;to interest;to join",
交じる,まじる,"to be mixed;to be blended with;to associate with;to mingle with;to interest;to join",
増す,ます,"to increase;to grow",
益々,ますます,"increasingly;more and more",
先ず,まず,"first (of all);to start with;about;almost;hardly (with neg. verb);anyway;well;now",
不味い,まずい,"unappetising;unpleasant (taste  appearance  situation);ugly;unskilful;awkward;bungling;unwise;untimely",
貧しい,まずしい,"poor",
混ぜる,まぜる,"to mix;to stir",
交ぜる,まぜる,"to be mixed;to be blended with",
又,また,"again;and",
跨ぐ,またぐ,"to straddle",
又は,または,"or;otherwise",
未だ,まだ,"yet;still;more;besides",
町,まち,"town;street;road",
町,まち,"town;street;road",
待合室,まちあいしつ,"waiting room",
待ち合わせる,まちあわせる,"to rendezvous;to meet at a prearranged place and time",
街角,まちかど,"street corner",
間違い,まちがい,"mistake",
間違う,まちがう,"to make a mistake;to be incorrect;to be mistaken",
間違える,まちがえる,"to err;to make a mistake",
真っ赤,まっか,"deep red;flushed (of face)",
真っ暗,まっくら,"total darkness;shortsightedness;pitch dark",
真っ黒,まっくろ,"pitch black",
真っ青,まっさお,"deep blue;ghastly pale",
真っ先,まっさき,"the head;the foremost;beginning",
真っ白,まっしろ,"pure white",
真っ直ぐ,まっすぐ,"straight (ahead);direct;upright;erect;honest;frank",
全く,まったく,"really;truly;entirely;completely;wholly;perfectly;indeed",
待つ,まつ,"to wait",
松,まつ,"pine tree;highest (of a three-tier ranking system)",
祭,まつり,"festival;feast",
祭,まつり,"festival;feast",
祭る,まつる,"to deify;to enshrine",
纏まる,まとまる,"to be collected;to be settled;to be in order",
纏める,まとめる,"to put in order;to collect;to bring to a conclusion",
窓,まど,"window",
窓口,まどぐち,"ticket window",
学ぶ,まなぶ,"to study in depth",
間に合う,まにあう,"to be in time for",
真似,まね,"mimicry;imitation;behavior;pretense",
招く,まねく,"to invite",
真似る,まねる,"to mimic;to imitate",
眩しい,まぶしい,"dazzling;radiant",
目蓋,まぶた,"eyelid",
間々,まま,"occasionally;frequently",
豆,まめ,"beans;peas",
間もなく,まもなく,"soon;before long;in a short time",
守る,まもる,"to protect;to obey;to guard;to abide (by the rules)",
迷う,まよう,"to be puzzled;to be perplexed;to lose one's way",
丸,まる,"circle;full (month);perfection;purity;suffix for ship names",
丸い,まるい,"round;circular;spherical",
丸で,まるで,"quite;entirely;completely;at all;as if;as though;so to speak",
稀,まれ,"rare",
回す,まわす,"to turn;to revolve",
回り,まわり,"circumference;surroundings;circulation",
回り道,まわりみち,"detour",
回る,まわる,"to turn;to revolve;to visit several places",
満員,まんいん,"full house;no vacancy;sold out;standing room only;full (of people);crowded",
漫画,まんが,"comic;cartoon",
満足,まんぞく,"satisfaction",
満点,まんてん,"perfect score",
真ん中,まんなか,"middle;centre;mid-way",
万年筆,まんねんひつ,"fountain pen",
真ん前,まんまえ,"right in front;under the nose",
真ん丸い,まんまるい,"perfectly circular",
身,み,"body;main part;oneself;sword",
三,み,"(num) three",
見上げる,みあげる,"to look up at;to raise one's eyes;to admire",
見える,みえる,"to be seen;to be in sight;to look;to seem;to appear",
見送り,みおくり,"seeing one off;farewell;escort",
見送る,みおくる,"1.  to see off;to farewell; 2.  to escort; 3.  to let pass;to wait and see; 4.  to let a pitch go by (baseball);to watch a batted ball go into the stands",
見下ろす,みおろす,"to overlook;to command a view of;to look down on something",
見掛け,みかけ,"outward appearance",
三日月,みかずき,"new moon;crescent moon",
見方,みかた,"viewpoint",
味方,みかた,"friend;ally;supporter",
磨く,みがく,"to polish;to shine;to brush;to refine;to improve",
右,みぎ,"right hand side",
見事,みごと,"splendid;magnificent;beautiful;admirable",
岬,みさき,"cape (on coast)",
短い,みじかい,"short",
惨め,みじめ,"miserable",
水,みず,"water",
湖,みずうみ,"lake",
自ら,みずから,"for one's self;personally",
